ScalaNativeKind(class scala.meta.Term$Select$TermSelectImpl),364555
ScalaNativeKind(class scala.meta.Term$Apply$TermApplyImpl),289350
ScalaNativeKind(class scala.meta.Term$ApplyInfix$TermApplyInfixImpl),60078
ScalaNativeKind(class scala.meta.Type$Apply$TypeApplyImpl),59742
ScalaNativeKind(class scala.meta.Term$Param$TermParamImpl),51777
ScalaNativeKind(class scala.meta.Pat$Var$PatVarImpl),49616
ScalaNativeKind(class scala.meta.Name$Indeterminate$NameIndeterminateImpl),41976
ScalaNativeKind(class scala.meta.Init$InitImpl),39811
ScalaNativeKind(class scala.meta.Importee$Name$ImporteeNameImpl),37976
ScalaNativeKind(class scala.meta.Importer$ImporterImpl),35852
ScalaNativeKind(class scala.meta.Defn$Val$DefnValImpl),26344
ScalaNativeKind(class scala.meta.Template$TemplateImpl),20973
ScalaNativeKind(class scala.meta.Term$ApplyType$TermApplyTypeImpl),18557
ScalaNativeKind(class scala.meta.Term$Function$TermFunctionImpl),16204
ScalaNativeKind(class scala.meta.Term$New$TermNewImpl),16103
ScalaNativeKind(class scala.meta.Term$Assign$TermAssignImpl),16085
ScalaNativeKind(class scala.meta.Type$Param$TypeParamImpl),15701
ScalaNativeKind(class scala.meta.Lit$String$LitStringImpl),14447
ScalaNativeKind(class scala.meta.Pat$Extract$PatExtractImpl),10106
ScalaNativeKind(class scala.meta.Defn$Class$DefnClassImpl),10100
ScalaNativeKind(class scala.meta.Term$Placeholder$TermPlaceholderImpl),9323
ScalaNativeKind(class scala.meta.Case$CaseImpl),9170
ScalaNativeKind(class scala.meta.Importee$Wildcard$ImporteeWildcardImpl),8919
ScalaNativeKind(class scala.meta.Type$Select$TypeSelectImpl),8749
ScalaNativeKind(class scala.meta.Mod$Override$ModOverrideImpl),8550
ScalaNativeKind(class scala.meta.Term$Interpolate$TermInterpolateImpl),8289
ScalaNativeKind(class scala.meta.Ctor$Primary$CtorPrimaryImpl),6648
ScalaNativeKind(class scala.meta.Pat$Wildcard$PatWildcardImpl),5573
ScalaNativeKind(class scala.meta.Defn$Object$DefnObjectImpl),5394
ScalaNativeKind(class scala.meta.Type$Function$TypeFunctionImpl),4912
ScalaNativeKind(class scala.meta.Mod$Implicit$ModImplicitImpl),4900
ScalaNativeKind(class scala.meta.Name$Anonymous$NameAnonymousImpl),4804
ScalaNativeKind(class scala.meta.Term$Tuple$TermTupleImpl),4772
ScalaNativeKind(class scala.meta.Pat$Tuple$PatTupleImpl),4426
ScalaNativeKind(class scala.meta.Term$PartialFunction$TermPartialFunctionImpl),4410
ScalaNativeKind(class scala.meta.Term$NewAnonymous$TermNewAnonymousImpl),4157
ScalaNativeKind(class scala.meta.Mod$Case$ModCaseImpl),4063
ScalaNativeKind(class scala.meta.Defn$Def$DefnDefImpl),3717
ScalaNativeKind(class scala.meta.Term$This$TermThisImpl),3496
ScalaNativeKind(class scala.meta.Type$Tuple$TypeTupleImpl),3383
ScalaNativeKind(class scala.meta.Mod$Annot$ModAnnotImpl),3346
ScalaNativeKind(class scala.meta.Pat$Typed$PatTypedImpl),3286
ScalaNativeKind(class scala.meta.Enumerator$Generator$EnumeratorGeneratorImpl),2853
ScalaNativeKind(class scala.meta.Decl$Def$DeclDefImpl),2707
